,Entity,Code,Year,Imported Deforestation,Net Traded Deforestation,Population,per Capita Imported Deforestation,per Capita Net Traded Deforestation
102,Bahrain,BHR,2008,408.0077854089194,408.0077854089194,1114645.0,0.0003660428077180801,0.0003660428077180801
103,Bahrain,BHR,2009,490.92598594549736,490.92598594549736,1185075.0,0.00041425731362613956,0.00041425731362613956
104,Bahrain,BHR,2010,1559.5505155840424,1559.5505155840424,1240864.0,0.0012568263045620168,0.0012568263045620168
105,Bahrain,BHR,2011,889.320076310925,889.320076310925,1278153.0,0.0006957853060712802,0.0006957853060712802
106,Bahrain,BHR,2012,970.2994831285351,970.2994831285351,1299942.0,0.0007464175194958968,0.0007464175194958968
107,Bahrain,BHR,2013,755.1940543340071,755.1940543340071,1315029.0,0.0005742793918111365,0.0005742793918111365
108,Bangladesh,BGD,2005,7354.45848025103,7350.980885306231,139035505.0,5.2896261859523075e-05,5.2871249579783465e-05
109,Bangladesh,BGD,2006,15567.484732681209,15564.53976393033,140921154.0,0.0001104694667252101,0.00011044856873603469
110,Bangladesh,BGD,2007,21544.34059283081,21543.28328436788,142660381.0,0.00015101838675750354,0.00015101097539034248
111,Bangladesh,BGD,2008,11525.282114780131,11524.335758070469,144304164.0,7.98679802114382e-05,7.986142214212521e-05
112,Bangladesh,BGD,2009,18154.293007780296,18150.60745664291,145924795.0,0.00012440855584399,0.0001243832993333512
113,Bangladesh,BGD,2010,16532.266436400583,16526.292840401213,147575433.0,0.00011202587111094964,0.00011198539285601292
114,Bangladesh,BGD,2011,19291.72258444186,19286.037160680185,149273134.0,0.0001292377406937933,0.00012919965330586671
115,Bangladesh,BGD,2012,17006.658520173845,17000.351119431678,151005733.0,0.00011262260168740643,0.00011258083240741381
116,Bangladesh,BGD,2013,15269.22705058326,15254.353532863046,152761413.0,9.995473824651818e-05,9.985737388317459e-05
117,Barbados,BRB,2005,154.87637626218122,154.86964698078185,276320.0,0.0005604964398602389,0.0005604720866415093
118,Barbados,BRB,2006,118.51849437926892,118.5047238040591,277475.0,0.0004271321538130243,0.0004270825256475686
119,Barbados,BRB,2007,158.23714404279482,158.20516316399295,278701.0,0.0005677666891858832,0.0005676519394045696
120,Barbados,BRB,2008,120.37928585160417,120.26802412466834,279946.0,0.00043000895119631703,0.0004296115112366969
121,Barbados,BRB,2009,155.73489330495516,154.84286436842882,281107.0,0.000554005746228145,0.0005508324743547078
122,Barbados,BRB,2010,141.95689264491932,141.13482560489464,282131.0,0.000503159499115373,0.0005002457213312065
123,Barbados,BRB,2011,197.7968017188659,197.640589583744,282987.0,0.0006989607357188348,0.0006984087240182199
124,Barbados,BRB,2012,112.17605872342428,112.16089080270947,283698.0,0.00039540658983646087,0.0003953531248112763
125,Barbados,BRB,2013,155.3028102909633,155.30013989821393,284294.0,0.000546275370887051,0.0005462659778194894
126,Belarus,BLR,2005,897.0999102038485,897.0999102038485,9562083.0,9.381846091524708e-05,9.381846091524708e-05
127,Belarus,BLR,2006,1041.260443768123,1041.260443768123,9516884.0,0.0001094119087474559,0.0001094119087474559
128,Belarus,BLR,2007,812.6171200315501,812.6171200315501,9480514.0,8.57144581012749e-05,8.57144581012749e-05
129,Belarus,BLR,2008,1015.1251065876716,1015.1251065876716,9452855.0,0.00010738820246239591,0.00010738820246239591
130,Belarus,BLR,2009,1078.2592240400238,1078.2592240400238,9433159.0,0.00011430521037968551,0.00011430521037968551
131,Belarus,BLR,2010,965.3895528824098,965.3895528824098,9420576.0,0.00010247670130599337,0.00010247670130599337
132,Belarus,BLR,2011,1293.240316656072,1293.240316656072,9415316.0,0.00013735495618586482,0.00013735495618586482
133,Belarus,BLR,2012,1719.3441451542033,1719.3441451542033,9417045.0,0.00018257788352441803,0.00018257788352441803
134,Belarus,BLR,2013,1062.036103906374,1062.036103906374,9423502.0,0.00011270078829572847,0.00011270078829572847
135,Belgium,BEL,2005,12588.616692041902,12588.616692041902,10546885.0,0.0011935862287340672,0.0011935862287340672
136,Belgium,BEL,2006,15538.825245090842,15538.825245090842,10619484.0,0.0014632373140814415,0.0014632373140814415
137,Belgium,BEL,2007,13476.1546803797,13476.1546803797,10697576.0,0.0012597390923307953,0.0012597390923307953
138,Belgium,BEL,2008,13660.343421195355,13660.343421195355,10778764.0,0.0012673385762222232,0.0012673385762222232
139,Belgium,BEL,2009,14655.204786694025,14655.204786694025,10859934.0,0.0013494745720088192,0.0013494745720088192
140,Belgium,BEL,2010,11481.467259347151,11481.467259347151,10938735.0,0.00104961563282657,0.00104961563282657
141,Belgium,BEL,2011,11437.457491538667,11437.457491538667,11013860.0,0.0010384604027596743,0.0010384604027596743
142,Belgium,BEL,2012,10251.305417852986,10251.305417852986,11085355.0,0.0009247611301445002,0.0009247611301445002
143,Belgium,BEL,2013,8520.40599977923,8520.40599977923,11154008.0,0.000763887384676363,0.000763887384676363
144,Belize,BLZ,2005,67.15953695765609,-101.18501016896003,283798.0,0.0002366455611302972,-0.0003565388416019846
145,Belize,BLZ,2006,64.86364303736889,2.360214729236816,291338.0,0.00022264051732821975,8.101293786724753e-06
146,Belize,BLZ,2007,69.0383898280084,36.58147554111224,299031.0,0.00023087368810594355,0.00012233338864904388
147,Belize,BLZ,2008,43.04530645567411,-92.40056718431411,306822.0,0.0001402940677515762,-0.0003011536564663359
148,Belize,BLZ,2009,36.89841295231656,-84.67613170095512,314655.0,0.00011726625336421338,-0.00026910785368405117
149,Belize,BLZ,2010,47.13688792729067,-241.6195939843076,322465.0,0.0001461767569419648,-0.0007492893615874827
150,Belize,BLZ,2011,56.15154993622491,-347.68230363326074,330236.0,0.0001700346114179705,-0.0010528298054520427
