,Entity,Code,Year,Net_traded_Deforestation
141,Belgium,BEL,2011,11437.457491538667
142,Belgium,BEL,2012,10251.305417852986
143,Belgium,BEL,2013,8520.40599977923
144,Belize,BLZ,2005,-101.18501016896003
145,Belize,BLZ,2006,2.360214729236816
146,Belize,BLZ,2007,36.58147554111224
147,Belize,BLZ,2008,-92.40056718431411
148,Belize,BLZ,2009,-84.67613170095512
149,Belize,BLZ,2010,-241.6195939843076
150,Belize,BLZ,2011,-347.68230363326074
151,Belize,BLZ,2012,-417.870476404428
152,Belize,BLZ,2013,-334.9312134979548
153,Benin,BEN,2005,145.05747746472753
154,Benin,BEN,2006,1133.2685789072975
155,Benin,BEN,2007,1188.0722524699768
156,Benin,BEN,2008,1680.9260771697343
157,Benin,BEN,2009,1288.2970251157394
158,Benin,BEN,2010,933.5392468342544
159,Benin,BEN,2011,2531.96932879864
160,Benin,BEN,2012,554.1518641067964
161,Benin,BEN,2013,471.9727792321573
162,Bermuda,BMU,2005,48.13399357728148
163,Bermuda,BMU,2006,42.08651838891179
164,Bermuda,BMU,2007,30.410989862161337
165,Bermuda,BMU,2008,24.458130278476933
166,Bermuda,BMU,2009,20.234669614114456
167,Bermuda,BMU,2010,19.97422417106444
168,Bermuda,BMU,2011,14.730552020380609
169,Bermuda,BMU,2012,14.334305986870255
170,Bermuda,BMU,2013,16.248051428864517
171,Bhutan,BTN,2005,0.8112317184047697
172,Bhutan,BTN,2006,0.3546713401923398
173,Bhutan,BTN,2007,2.720571348018325
174,Bhutan,BTN,2008,7.366165771671717
175,Bhutan,BTN,2009,8.003740219524389
176,Bhutan,BTN,2010,22.65616907578521
177,Bhutan,BTN,2011,11.789874594400658
178,Bhutan,BTN,2012,23.20239569624431
179,Bhutan,BTN,2013,3.8421008294910735
180,Bosnia and Herzegovina,BIH,2005,835.4043657458707
181,Bosnia and Herzegovina,BIH,2006,1034.2814581774342
182,Bosnia and Herzegovina,BIH,2007,927.4697520673238
183,Bosnia and Herzegovina,BIH,2008,888.0966309760327
184,Bosnia and Herzegovina,BIH,2009,706.1314863358123
185,Bosnia and Herzegovina,BIH,2010,561.1491182849487
186,Bosnia and Herzegovina,BIH,2011,481.3237411861324
187,Bosnia and Herzegovina,BIH,2012,551.6481902118034
188,Bosnia and Herzegovina,BIH,2013,533.1941440209536
189,Botswana,BWA,2005,2.4345447517444114
190,Botswana,BWA,2006,26.81745529757994
191,Botswana,BWA,2007,355.4899395069313
192,Botswana,BWA,2008,317.35382542697363
193,Botswana,BWA,2009,518.1113267976992
194,Botswana,BWA,2010,729.5391387415025
195,Botswana,BWA,2011,423.1259251160439
196,Botswana,BWA,2012,1225.3033518740124
197,Botswana,BWA,2013,954.2185153865008
198,Brazil,BRA,2005,-490102.685177424
199,Brazil,BRA,2006,-447555.8736959181
200,Brazil,BRA,2007,-367228.614043216
201,Brazil,BRA,2008,-249158.06227307604
202,Brazil,BRA,2009,-193571.99998918732
203,Brazil,BRA,2010,-216446.52591232237
204,Brazil,BRA,2011,-221182.0428120338
205,Brazil,BRA,2012,-300611.9940675446
206,Brazil,BRA,2013,-329112.99874438066
207,Brunei,BRN,2005,-77.9410464425415
208,Brunei,BRN,2006,99.24300124988928
209,Brunei,BRN,2007,-360.5443357868885
210,Brunei,BRN,2008,80.06216633172221
211,Brunei,BRN,2009,104.76442630636996
212,Brunei,BRN,2010,134.45174040648988
213,Brunei,BRN,2011,164.9779942095613
214,Brunei,BRN,2012,214.25824788898933
215,Brunei,BRN,2013,240.30952776352365
216,Bulgaria,BGR,2005,9578.184352500182
217,Bulgaria,BGR,2006,10710.997790877427
218,Bulgaria,BGR,2007,1363.9428158036278
219,Bulgaria,BGR,2008,1401.0656743337374
220,Bulgaria,BGR,2009,1651.106294732525
221,Bulgaria,BGR,2010,1455.3684041551248
222,Bulgaria,BGR,2011,1476.3830061993588
223,Bulgaria,BGR,2012,1481.1377273225226
224,Bulgaria,BGR,2013,1423.7521503901348
225,Burkina Faso,BFA,2005,147.45587359047363
226,Burkina Faso,BFA,2006,188.12844028746207
227,Burkina Faso,BFA,2007,171.0079163725848
228,Burkina Faso,BFA,2008,130.47285022942023
229,Burkina Faso,BFA,2009,609.3021917910625
230,Burkina Faso,BFA,2010,521.0733667085123
231,Burkina Faso,BFA,2011,581.1435755907581
232,Burkina Faso,BFA,2012,460.7926218548953
233,Burkina Faso,BFA,2013,609.3316007631956
234,Burundi,BDI,2005,45.11959099667445
235,Burundi,BDI,2006,137.67580050802644
236,Burundi,BDI,2007,162.19256166457967
237,Burundi,BDI,2008,95.96091136015411
238,Burundi,BDI,2009,53.528385846371975
239,Burundi,BDI,2010,121.57954486198923
240,Burundi,BDI,2011,103.18298176604615
241,Burundi,BDI,2012,510.3270182886665
242,Burundi,BDI,2013,214.15436556360717
243,Cambodia,KHM,2005,292.0745146947811
244,Cambodia,KHM,2006,457.0806251560716
245,Cambodia,KHM,2007,469.8645259249315
246,Cambodia,KHM,2008,-223.9960931696114
247,Cambodia,KHM,2009,-553.6565712121483
248,Cambodia,KHM,2010,-721.0738348898703
249,Cambodia,KHM,2011,-709.2020426257404
250,Cambodia,KHM,2012,-1951.6016806203731
251,Cambodia,KHM,2013,-732.9837968066859
252,Cameroon,CMR,2005,-910.4729926955752
253,Cameroon,CMR,2006,-1465.5855413139434
254,Cameroon,CMR,2007,-1675.4964206574914
255,Cameroon,CMR,2008,-1537.04168168467
256,Cameroon,CMR,2009,-1461.3802358960238
257,Cameroon,CMR,2010,-2101.0266567465515
258,Cameroon,CMR,2011,-1747.159894294433
259,Cameroon,CMR,2012,-1051.8721615851755
