"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Azerbaijan","651.87","681.18","743.40","754.52","793.86","800.94","809.36","817.78","826.20","292.87","306.04","289.10","323.37","293.62","296.24","299.35","302.46","305.57","9.45","9.87","10.32","21.56","10.87","21.94","22.17","22.40","22.63","0.00","0.05","0.05","0.22","0.05","0.22","0.22","0.22","0.22","283.42","296.17","278.77","301.81","282.74","274.30","277.18","280.06","282.94"
"Bahamas","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bahrain (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.37","0.52","0.60","0.62","0.64","0.66","0.68","0.70","0.22","0.37","0.52","0.60","0.62","0.64","0.66","0.68","0.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","1845.16","1845.16","1816.41","1725.33","1725.33","1725.33","1725.33","1725.33","1725.33","75.17","75.17","71.93","158.07","158.07","158.07","158.07","158.07","158.07","75.17","75.17","71.93","158.07","158.07","158.07","158.07","158.07","158.07","75.17","75.17","71.93","78.77","78.77","78.77","78.77","78.77","78.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Barbados","6.30","6.30","6.30","6.30","6.30","6.30","6.30","6.30","6.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Belarus","6576.43","6413.23","6483.72","6421.60","6516.52","6522.14","6547.80","6548.10","6555.60","1203.57","1860.60","2146.28","2211.90","2193.08","2201.96","2190.80","2205.01","2212.00","0.78","0.83","1.73","6.04","6.10","6.11","6.12","6.13","6.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1202.79","1859.77","2144.56","2205.86","2186.98","2195.86","2184.68","2198.88","2205.86"
"Belgium","231.10","259.20","283.40","251.20","251.20","251.20","251.20","251.20","251.20","446.30","407.90","406.37","438.20","438.20","438.20","438.20","438.20","438.20","446.30","407.90","406.37","438.20","438.20","438.20","438.20","438.20","438.20","306.00","229.20","289.30","350.20","350.20","350.20","350.20","350.20","350.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Belize","1597.97","1457.13","1389.11","1330.50","1319.33","1308.17","1297.00","1285.83","1274.67","2.06","2.17","2.28","2.33","2.34","2.36","2.37","2.38","2.39","2.06","2.17","2.28","2.33","2.34","2.36","2.37","2.38","2.39","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Benin","4822.53","4118.78","3615.15","3363.15","3316.15","3266.15","3215.15","3163.15","3112.15","13.00","16.00","20.00","22.00","19.00","19.00","20.00","22.00","23.00","13.00","16.00","20.00","22.00","19.00","19.00","20.00","22.00","23.00","13.00","16.00","20.00","22.00","19.00","19.00","20.00","22.00","23.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bermuda (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bhutan","2487.40","2586.47","2685.54","2694.91","2696.78","2698.65","2700.52","2702.39","2704.26","19.32","19.54","19.75","20.27","20.38","20.49","20.60","20.71","20.82","19.32","19.54","19.75","20.27","20.38","20.49","20.60","20.71","20.82","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bolivia (Plurinational State of)","57784.72","55066.33","53035.88","51970.27","51690.43","51429.66","51190.64","50971.16","50771.16","20.00","35.06","50.13","56.95","60.24","62.57","62.60","62.60","62.60","20.00","27.06","34.12","36.94","37.02","38.79","38.79","38.79","38.79","","","","","","","","","","0.00","8.00","16.01","20.01","23.22","23.78","23.81","23.81","23.81"
"Bonaire, Sint Eustatius and Saba (Desk study)","1.91","1.91","1.91","1.91","1.91","1.91","1.91","1.91","1.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina (Desk study)","","","","2041.19","2057.20","","","","","","","","119.31","119.31","","","","","","","","0.00","0.00","","","","","","","","0.00","0.00","","","","","","","","119.31","119.31","","","",""
"Botswana","18803.70","17620.70","16437.70","15846.20","15727.90","15609.60","15491.30","15373.00","15254.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
