"","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Naturally regenerating forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Planted forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","Plantation forest ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","…of which introduced species ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )","Other planted forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Côte d'Ivoire","7844.16","5080.50","3951.30","3387.20","3274.31","3161.42","3048.53","2935.65","2822.76","6.70","13.95","13.95","13.95","13.95","13.95","13.95","13.95","13.95","6.70","13.95","13.95","13.95","13.95","13.95","13.95","13.95","13.95","6.70","13.95","13.95","13.95","13.95","13.95","13.95","13.95","13.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Croatia","1757.69","1803.40","1845.16","1847.16","1849.29","1858.34","1862.40","1866.46","1870.52","92.31","81.60","74.84","74.84","74.83","73.27","71.71","70.15","68.59","92.31","81.60","74.84","74.84","74.83","73.27","71.71","70.15","68.59","27.86","27.31","24.58","21.62","21.03","20.51","19.99","19.47","18.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cuba","1711.00","2093.00","2436.00","2656.00","2706.00","2709.34","2709.34","2709.34","2709.34","347.00","342.00","496.00","528.00","535.00","532.66","532.66","532.66","532.66","347.00","342.00","496.00","528.00","535.00","532.66","532.66","532.66","532.66","65.93","87.00","104.00","104.00","100.00","102.96","102.96","102.96","102.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Curaçao (Desk study)","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Cyprus","136.77","144.05","142.17","141.56","140.34","139.65","139.92","139.85","139.78","24.34","27.56","30.69","31.15","32.27","32.60","32.65","32.70","32.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","0.00","0.00","0.00","24.34","27.56","30.69","31.15","32.27","32.60","32.65","32.70","32.75"
"Czechia","31.07","47.24","87.73","114.96","119.77","124.24","128.71","133.19","137.66","2598.35","2590.05","2569.64","2553.44","2550.08","2547.42","2544.76","2542.09","2539.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2598.35","2590.05","2569.64","2553.44","2550.08","2547.42","2544.76","2542.09","2539.43"
"Democratic People's Republic of Korea (Desk study)","5782.03","5399.46","5221.86","5132.50","5114.57","5096.63","5078.68","5060.72","5042.75","1130.00","1055.23","1020.53","1003.74","1000.44","997.15","993.87","990.60","987.34","1130.00","1055.23","1020.53","1003.74","1000.44","997.15","993.87","990.60","987.34","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Democratic Republic of the Congo","150573.50","143842.30","137111.30","131604.40","130503.00","129401.70","128300.30","127198.90","126097.50","55.50","56.70","57.70","57.70","57.70","57.70","57.70","57.70","57.70","55.50","56.70","57.70","57.70","57.70","57.70","57.70","57.70","57.70","55.50","56.70","57.70","57.70","57.70","57.70","57.70","57.70","57.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Denmark","","","139.53","164.73","170.59","182.05","193.52","204.98","216.44","","","446.96","459.95","454.07","443.55","433.06","422.55","412.04","","","272.95","272.80","266.73","259.50","252.28","245.05","237.82","","","272.95","272.80","266.73","259.50","252.28","245.05","237.82","","","174.01","187.15","187.34","184.05","180.78","177.50","174.22"
"Djibouti","5.60","5.60","5.60","5.60","5.60","5.60","5.60","5.60","5.60","0.00","0.00","0.00","0.00","0.00","0.01","0.04","0.10","0.20","0.00","0.00","0.00","0.00","0.00","0.01","0.04","0.10","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominica","49.50","47.06","47.06","47.06","47.06","47.06","47.06","47.06","47.06","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominican Republic","1573.88","1929.43","1962.81","1969.77","1953.61","1953.73","1953.85","1953.97","1954.09","21.01","43.05","110.30","133.88","158.13","166.10","174.07","182.04","190.01","5.25","15.46","44.13","53.03","63.20","66.38","69.56","72.74","75.92","1.31","9.27","26.48","30.00","37.92","39.83","41.74","43.65","45.56","15.76","27.59","66.17","80.84","94.93","99.72","104.51","109.30","114.09"
"Ecuador","14587.77","13660.35","12943.37","12692.28","12631.18","12570.09","12508.99","12447.89","12386.79","44.43","70.15","84.82","126.89","123.72","120.54","117.36","114.19","111.01","44.43","70.15","84.82","126.89","123.72","120.54","117.36","114.19","111.01","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Egypt","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.81","59.21","65.64","48.42","44.98","44.98","44.98","44.98","44.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.81","59.21","65.64","48.42","44.98","44.98","44.98","44.98","44.98"
"El Salvador","708.96","661.40","613.83","590.05","585.30","580.54","575.78","571.03","566.27","9.92","12.48","15.05","16.33","16.58","16.84","17.10","17.35","17.61","9.92","12.48","15.05","16.33","16.58","16.84","17.10","17.35","17.61","9.58","11.60","13.62","14.63","14.83","15.03","15.23","15.44","15.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Equatorial Guinea","2699.16","2490.58","2407.01","2365.22","2356.86","2348.50","2340.15","2331.79","2323.43","0.00","125.00","125.00","125.00","125.00","125.00","125.00","125.00","125.00","0.00","125.00","125.00","125.00","125.00","125.00","125.00","125.00","125.00","0.00","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Eritrea","1140.06","1097.46","1058.36","1032.46","1028.50","1024.14","1021.18","1017.02","1011.86","10.00","21.00","28.50","38.60","39.40","40.60","40.40","41.40","43.40","0.00","6.00","8.50","14.60","15.40","15.60","15.40","16.40","16.40","0.00","4.00","6.50","11.00","13.00","13.00","14.00","14.00","14.00","10.00","15.00","20.00","24.00","24.00","25.00","25.00","25.00","27.00"
"Estonia","2010.73","2040.80","2129.34","2206.80","2207.02","2222.66","2222.66","2222.66","2222.66","195.17","198.09","206.68","214.20","214.22","215.74","215.74","215.74","215.74","6.14","6.23","6.50","6.74","6.74","6.79","6.79","6.79","6.79","1.92","1.95","2.03","2.11","2.11","2.12","2.12","2.12","2.12","189.03","191.86","200.18","207.46","207.48","208.95","208.95","208.95","208.95"
"Eswatini","297.37","330.13","362.89","379.27","382.55","385.83","389.11","392.39","395.67","163.77","143.15","122.54","112.23","110.17","108.11","106.05","103.99","101.93","163.77","143.15","122.54","112.23","110.17","108.11","106.05","103.99","101.93","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00"
"Ethiopia","18918.89","18188.89","17057.79","16461.50","16342.24","16222.98","16103.72","15984.46","15865.20","339.61","339.61","740.71","972.00","1018.26","1064.52","1110.78","1157.04","1203.30","271.69","271.69","592.57","777.60","814.61","851.62","888.63","925.64","962.65","217.35","217.35","454.61","583.20","608.92","634.64","660.36","686.08","711.80","67.92","67.92","148.14","194.40","203.65","212.90","222.15","231.40","240.65"
"Falkland Islands (Malvinas) (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Faroe Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Fiji","854.92","880.99","907.06","920.09","922.70","925.31","927.92","930.53","933.14","84.77","125.48","166.18","186.53","190.60","194.67","198.74","202.81","206.88","84.77","125.48","166.18","186.53","190.60","194.67","198.74","202.81","206.88","84.77","125.48","166.18","186.53","190.60","194.67","198.74","202.81","206.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Finland","17484.95","17301.10","15333.63","15040.92","15040.92","15040.92","15040.92","15040.92","15040.92","4390.38","5144.54","6908.37","7368.08","7368.08","7368.08","7368.08","7368.08","7368.08","21.88","24.69","33.36","33.61","33.61","33.61","33.61","33.61","33.61","21.88","24.69","33.36","33.61","33.61","33.61","33.61","33.61","33.61","4368.50","5119.85","6875.00","7334.47","7334.47","7334.47","7334.47","7334.47","7334.47"
"France","12908.00","13702.00","14346.00","14576.00","14624.00","14673.00","14722.00","14771.00","14819.00","1528.00","1586.00","2073.00","2260.00","2295.00","2330.00","2364.00","2399.00","2434.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1528.00","1586.00","2073.00","2260.00","2295.00","2330.00","2364.00","2399.00","2434.00"
"French Guyana","8124.30","8078.74","8035.80","8019.30","8015.87","8012.44","8008.91","8005.98","8002.05","0.70","0.70","0.70","0.70","0.70","0.70","0.80","0.80","0.80","0.70","0.70","0.70","0.70","0.70","0.70","0.80","0.80","0.80","0.50","0.50","0.50","0.50","0.50","0.50","0.60","0.60","0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"French Polynesia (Desk study)","140.00","140.00","140.00","140.00","140.00","140.00","140.00","140.00","140.00","4.43","8.55","9.46","9.46","9.46","9.46","9.46","9.46","9.46","2.78","6.08","6.21","6.21","6.21","6.21","6.21","6.21","6.21","2.73","6.00","6.10","6.10","6.10","6.10","6.10","6.10","6.10","1.65","2.47","3.25","3.25","3.25","3.25","3.25","3.25","3.25"
"Gabon","23731.15","23670.00","23619.41","23560.00","23548.12","23536.24","23524.36","23512.48","23500.59","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","30.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Gambia","412.88","355.55","298.22","269.56","263.82","258.09","252.36","246.62","240.89","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","1.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Georgia","2698.35","2700.69","2750.43","2750.43","2750.43","2750.43","2750.43","2750.43","2750.43","53.95","59.91","71.97","71.97","71.97","71.97","71.97","71.97","71.97","53.95","59.91","71.97","71.97","71.97","71.97","71.97","71.97","71.97","16.47","16.47","16.47","16.47","16.47","16.47","16.47","16.47","16.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Germany","5650.00","5677.00","5704.50","5709.50","5709.50","5709.50","5709.50","5709.50","5709.50","5650.00","5677.00","5704.50","5709.50","5709.50","5709.50","5709.50","5709.50","5709.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5650.00","5677.00","5704.50","5709.50","5709.50","5709.50","5709.50","5709.50","5709.50"
"Ghana","9874.26","8798.61","7722.95","7619.99","7654.30","7688.61","7688.61","7688.61","7688.61","50.00","50.00","219.98","260.45","267.94","275.43","282.65","289.87","297.10","50.00","50.00","219.98","260.45","267.94","275.43","282.65","289.87","297.10","25.00","25.00","109.99","130.23","133.97","137.72","141.33","144.94","148.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Gibraltar (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greece","3180.79","3471.70","3762.90","3762.90","3762.90","3762.90","3762.90","3762.90","3762.90","117.76","128.53","138.90","138.90","138.90","138.90","138.90","138.90","138.90","117.76","128.53","138.90","138.90","138.90","138.90","138.90","138.90","138.90","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Greenland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Grenada","17.49","17.49","17.49","17.49","17.49","17.49","17.49","17.49","17.49","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","0.21","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Guadeloupe","72.67","71.77","71.05","71.72","71.66","71.60","71.54","71.48","71.42","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Guam","24.00","24.00","24.00","25.00","28.00","28.00","28.00","28.00","28.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Guatemala","4757.20","4172.20","3610.92","3454.00","3438.38","3422.76","3407.13","3391.51","3375.89","24.00","37.00","111.68","131.80","135.82","139.84","143.86","147.89","151.92","18.00","27.00","74.45","95.81","100.08","104.35","108.62","112.89","117.17","5.00","5.00","11.17","11.87","12.01","12.15","12.29","12.43","12.57","6.00","10.00","37.23","35.99","35.74","35.49","35.24","35.00","34.75"
"Guernsey (Desk study)","0.13","0.13","0.19","0.19","0.19","0.19","0.19","0.19","0.19","0.10","0.10","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.10","0.10","0.22","0.22","0.22","0.22","0.22","0.22","0.22","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Guinea","7236.00","6884.00","6517.00","6336.00","6295.00","6254.00","6213.00","6173.00","6132.00","40.00","45.00","52.00","53.00","54.00","55.00","56.00","56.00","57.00","10.00","15.00","20.00","21.00","22.00","23.00","24.00","24.00","25.00","5.00","6.00","7.00","7.00","7.00","7.00","8.00","8.00","8.00","30.00","30.00","32.00","32.00","32.00","32.00","32.00","32.00","32.00"
"Guinea-Bissau (Desk study)","2233.00","2149.00","2064.00","2021.00","2013.00","2004.00","1996.00","1987.00","1979.00","0.21","0.37","0.71","0.88","0.91","0.95","0.98","1.02","1.05","0.21","0.37","0.71","0.88","0.91","0.95","0.98","1.02","1.05","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Guyana","18602.15","18564.22","18519.81","18461.36","18452.16","18442.95","18433.75","18424.54","18415.34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Haiti","370.92","360.65","350.38","330.85","327.74","324.63","321.52","318.41","315.30","12.00","20.00","28.00","32.00","32.00","32.00","32.00","32.00","32.00","12.00","20.00","28.00","32.00","32.00","32.00","32.00","32.00","32.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Holy See (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Honduras","6987.78","6778.87","6575.47","6463.83","6443.05","6422.11","6401.16","6380.21","6359.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Hungary","","","1252.60","1268.02","1269.08","1269.91","1265.06","1264.65","1264.23","","","793.79","792.80","789.66","787.36","790.86","789.82","788.78","","","150.61","140.96","137.45","135.35","134.16","132.06","129.97","","","139.06","129.53","126.79","124.69","122.92","120.87","118.83","","","643.18","651.84","652.21","652.01","656.70","657.76","658.81"
"Iceland","10.51","10.94","11.37","11.58","11.62","11.67","11.71","11.75","11.79","6.56","18.89","33.30","36.58","37.04","37.71","38.33","38.94","39.56","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.56","18.89","33.30","36.58","37.04","37.71","38.33","38.94","39.56"
"India","58223.00","58223.00","56717.31","57804.00","58022.00","58239.21","58456.63","58674.00","58891.00","5715.00","9368.00","12778.69","13024.00","13072.00","13121.59","13170.57","13219.60","13269.00","3514.00","7167.00","9668.06","9854.00","9890.00","9927.49","9964.55","10002.00","10039.00","460.00","939.00","1266.00","1291.00","1296.00","1300.00","1305.00","1310.00","1315.00","2201.00","2201.00","3110.63","3170.00","3182.00","3194.10","3206.02","3217.60","3230.00"
"Indonesia","118399.51","97432.00","95472.70","90359.50","89848.10","89289.50","88728.83","88168.17","87607.50","145.49","3848.00","4186.50","4668.40","5423.70","4660.30","4615.43","4570.57","4525.70","145.49","3848.00","4186.50","4668.40","5423.70","4660.30","4615.43","4570.57","4525.70","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iran (Islamic Republic of)","8560.38","8809.98","9750.98","9750.98","9750.98","9750.98","9750.98","9750.98","9750.98","515.67","515.67","941.00","941.00","951.10","959.61","976.05","992.49","1000.89","515.67","515.67","941.00","941.00","951.10","959.61","976.05","992.49","1000.89","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq","743.23","754.19","758.00","754.65","751.13","747.44","743.56","739.49","735.21","60.77","63.81","67.00","70.35","73.87","77.56","81.44","85.51","89.79","60.77","63.81","67.00","70.35","73.87","77.56","81.44","85.51","89.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ireland","81.25","81.44","80.80","96.87","102.34","107.80","107.80","107.80","107.80","380.39","548.92","639.58","657.80","660.01","662.22","666.22","670.22","674.22","380.39","548.92","639.58","657.80","660.01","662.22","666.22","670.22","674.22","293.55","423.60","488.48","488.01","485.71","483.42","486.42","489.42","492.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Isle of Man (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel","66.00","65.00","66.00","76.00","55.00","55.00","55.00","55.00","55.00","66.00","88.00","88.00","89.00","85.00","85.00","85.00","85.00","85.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","66.00","88.00","88.00","89.00","85.00","85.00","85.00","85.00","85.00"
"Italy","7061.01","7773.74","8393.77","8657.44","8710.17","8762.90","8815.63","8868.36","8921.09","528.75","595.51","634.26","639.64","640.71","641.78","642.85","643.92","644.99","131.10","125.45","124.53","126.44","126.82","127.20","127.58","127.96","128.34","123.84","103.67","93.43","93.28","93.25","93.22","93.19","93.16","93.13","397.65","470.06","509.73","513.20","513.89","514.58","515.27","515.96","516.65"
"Jamaica","512.49","512.79","550.16","569.12","573.00","576.88","580.76","584.63","588.51","8.79","8.21","8.29","8.34","8.35","8.35","8.36","8.37","8.38","8.79","8.21","8.29","8.34","8.35","8.35","8.36","8.37","8.38","8.68","8.11","8.19","8.24","8.25","8.25","8.26","8.27","8.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Japan","14663.00","14545.00","14674.00","14726.00","14739.00","14751.00","14751.00","14751.00","14751.00","10287.00","10331.00","10292.00","10218.00","10201.00","10184.00","10184.00","10184.00","10184.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10287.00","10331.00","10292.00","10218.00","10201.00","10184.00","10184.00","10184.00","10184.00"
"Jersey (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jordan","50.60","50.60","50.60","50.60","50.60","50.60","50.60","50.60","50.60","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","46.90","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kazakhstan","2645.22","2628.14","2637.73","2887.62","2916.88","2946.15","2975.41","3004.67","3033.93","517.03","528.79","444.45","420.84","420.82","420.80","420.79","420.78","420.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","0.00","0.00","","0.00","0.00","517.03","528.79","444.45","420.84","420.82","420.80","420.79","420.78","420.77"
"Kenya","3705.75","3808.40","3463.55","3369.62","3399.18","3428.74","3458.30","3458.30","3458.30","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","152.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kiribati (Desk study)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.45","4.85","6.25","6.25","6.25","6.25","6.25","6.25","6.25","3.45","4.85","6.25","6.25","6.25","6.25","6.25","6.25","6.25","3.45","4.85","6.25","6.25","6.25","6.25","6.25","6.25","6.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan","977.32","1015.58","1044.92","1054.95","1056.95","1058.96","1067.96","1076.96","1085.96","159.10","165.33","184.76","196.86","199.28","201.71","210.71","219.71","228.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","159.10","165.33","184.76","196.86","199.28","201.71","210.71","219.71","228.71"
"Lao People's Democratic Republic","16237.00","15845.00","15344.75","15084.50","15032.45","14980.40","14928.35","14876.30","14824.25","1606.00","1580.00","1595.75","1683.50","1701.05","1718.60","1736.15","1753.70","1771.25","6.00","18.00","112.00","140.00","145.60","151.20","156.80","162.40","168.00","4.50","13.50","84.00","105.00","109.20","113.40","117.60","121.80","126.00","1600.00","1562.00","1483.75","1543.50","1555.45","1567.40","1579.35","1591.30","1603.25"
"Latvia","2858.60","2918.90","2964.46","2954.90","2952.99","2951.08","2949.17","2947.26","2945.35","314.40","322.10","407.66","436.54","442.32","448.10","453.88","459.66","465.44","0.00","0.00","6.57","12.47","13.65","14.83","16.01","17.19","18.37","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","314.40","322.10","401.09","424.07","428.67","433.27","437.87","442.47","447.07"
"Lebanon","138.58","137.58","137.01","139.98","140.57","141.16","141.75","142.34","142.93","1.11","0.59","0.34","0.35","0.35","0.35","0.35","0.35","0.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.11","0.59","0.34","0.35","0.35","0.35","0.35","0.35","0.35"
"Lesotho","25.85","25.85","25.85","25.85","25.85","25.85","25.85","25.85","25.85","8.67","8.67","8.67","8.67","8.67","8.67","8.67","8.67","8.67","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","5.32","3.35","3.35","3.35","3.35","3.35","3.35","3.35","3.35","3.35"
"Liberia","8524.04","8212.83","7901.62","7746.02","7714.90","7683.78","7652.66","7621.53","7590.41","1.20","9.81","18.42","22.72","23.58","24.44","25.30","26.17","27.03","1.20","9.81","18.42","22.72","23.58","24.44","25.30","26.17","27.03","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Libya (Desk study)","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","217.00","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
