"","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020"
"Norway","4.92","6.50","5.98","5.82"
"Oman","","","",""
"Pakistan","","","",""
"Palau","","","",""
"Palestine (Desk study)","","","",""
"Panama","18.95","13.73","12.52","12.49"
"Papua New Guinea","12.17","9.91","30.90","33.53"
"Paraguay","255.42","342.14","414.25","279.34"
"Peru","160.28","150.28","188.50","179.09"
"Philippines","","","",""
"Pitcairn (Desk study)","","","",""
"Poland","0.51","0.58","0.62","0.77"
"Portugal","","","39.60",""
"Puerto Rico","","","",""
"Qatar (Desk study)","0.00","0.00","0.00","0.00"
"Republic of Korea","7.50","8.90","10.00","10.00"
"Republic of Moldova","0.88","1.80","0.93","0.34"
"Réunion","0.00","0.00","0.00","0.00"
"Romania","","0.18","0.11","0.02"
"Russian Federation","0.00","0.00","41.03","0.00"
"Rwanda (Desk study)","","","",""
"Saint Barthélemy (Desk study)","","","",""
"Saint Helena (Desk study)","","","",""
"Saint Kitts and Nevis (Desk study)","","","",""
"Saint Lucia","","","",""
"Saint Pierre and Miquelon (Desk study)","","","",""
"Saint Vincent and the Grenadines","","","",""
"Saint-Martin (French Part) (Desk study)","","","",""
"Samoa","","","",""
"San Marino (Desk study)","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","0.03","0.03","0.62","0.62"
"Saudi Arabia (Desk study)","","","",""
"Senegal","","","51.00","51.00"
"Serbia","0.00","0.00","0.09","0.04"
"Seychelles","","","",""
"Sierra Leone","","","",""
"Singapore","0.28","0.14","0.30","0.24"
"Sint Maarten (Dutch part) (Desk study)","","","",""
"Slovakia","","","",""
"Slovenia","0.00","0.38","0.30","2.03"
"Solomon Islands","","","",""
"Somalia","76.75","76.75","76.75","76.75"
"South Africa","399.00","399.00","199.00","199.00"
"South Sudan","","","",""
"Spain","","5.70","1.98","3.74"
"Sri Lanka","","","",""
"Sudan","403.73","381.70","272.54","264.00"
"Suriname","3.68","4.11","9.86","11.65"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00"
"Sweden","11.49","20.82","38.15","13.05"
"Switzerland","1.16","1.05","1.34","1.34"
"Syrian Arab Republic","77.25","46.18","11.94",""
"Tajikistan","","","",""
"Thailand","63.00","18.00","94.40","37.60"
"Timor-Leste","","","",""
"Togo","10.32","4.46","4.96","4.96"
"Tokelau (Desk study)","0.00","0.00","0.00","0.00"
"Tonga","","","",""
"Trinidad and Tobago","","","",""
"Tunisia","4.32","4.34","1.42","0.57"
"Turkey","2.22","1.38","1.03","1.17"
"Turkmenistan (Desk study)","","","",""
"Turks and Caicos Islands (Desk study)","","","",""
"Tuvalu","","","",""
"Uganda","51.09","51.09","51.09","51.09"
"Ukraine","0.50","1.03","0.40","0.10"
"United Arab Emirates (Desk study)","","","",""
"United Kingdom of Great Britain and Northern Ireland","","0.20","0.50",""
"United Republic of Tanzania","400.00","400.00","372.00","474.00"
"United States of America","0.00","0.00","0.00",""
"United States Virgin Islands","","","",""
"Uruguay","","0.66","1.83",""
"Uzbekistan","0.79","5.00","1.04","14.15"
"Vanuatu","","","",""
"Venezuela (Bolivarian Republic of)","303.85","183.99","182.27","108.29"
"Viet Nam","0.00","0.00","25.86","1.59"
"Wallis and Futuna Islands (Desk study)","","","",""
"Western Sahara (Desk study)","","","",""
"Yemen","","","",""
"Zambia","","36.25","189.68","189.71"
"Zimbabwe","46.07","46.07","46.07","46.07"
"© FRA 2022","","","",""
"2022-01-05","","","",""
